"ENTa","Source","Year_Rep","Value"
52001,"WSU","YLD_E1",5945.14
52001,"WSU","YLD_E2",5593.75
52001,"WSU","YLD_E4",5405.79
52001,"WSU","YLD_E5",6035.23
52001,"WSU","YLD_BLUPs",5522.85
52002,"WSU","YLD_E1",6267.64
52002,"WSU","YLD_E2",5666.55
52002,"WSU","YLD_E4",5712.12
52002,"WSU","YLD_E5",6105.01
52002,"WSU","YLD_BLUPs",5759.28
52003,"WSU","YLD_E1",5366.8
52003,"WSU","YLD_E2",5614.09
52003,"WSU","YLD_E4",5861.16
52003,"WSU","YLD_E5",6597.03
52003,"WSU","YLD_BLUPs",5990.82
52004,"WSU","YLD_E1",5221.34
52004,"WSU","YLD_E2",5404.26
52004,"WSU","YLD_E4",5923.09
52004,"WSU","YLD_E5",6393.54
52004,"WSU","YLD_BLUPs",5776.42
52005,"WSU","YLD_E1",6668.46
52005,"WSU","YLD_E2",5847.48
52005,"WSU","YLD_E4",6125.24
52005,"WSU","YLD_E5",6801.84
52005,"WSU","YLD_BLUPs",6457.15
52006,"WSU","YLD_E1",6105.4
52006,"WSU","YLD_E2",5463.14
52006,"WSU","YLD_E4",5901.34
52006,"WSU","YLD_E5",6378.97
52006,"WSU","YLD_BLUPs",5867.79
52007,"WSU","YLD_E1",4750.83
52007,"WSU","YLD_E2",5337.88
52007,"WSU","YLD_E4",5251.12
52007,"WSU","YLD_E5",5979.33
52007,"WSU","YLD_BLUPs",5183.21
52008,"WSU","YLD_E1",5820.97
52008,"WSU","YLD_E2",5837.85
52008,"WSU","YLD_E4",5816.44
52008,"WSU","YLD_E5",6546.04
52008,"WSU","YLD_BLUPs",6104.63
52009,"WSU","YLD_E1",5249.36
52009,"WSU","YLD_E2",5377.49
52009,"WSU","YLD_E4",5645.38
52009,"WSU","YLD_E5",6094.5
52009,"WSU","YLD_BLUPs",5479.41
52010,"WSU","YLD_E1",5898.7
52010,"WSU","YLD_E2",5499.54
52010,"WSU","YLD_E4",6244
52010,"WSU","YLD_E5",6356.66
52010,"WSU","YLD_BLUPs",6002.36
52011,"WSU","YLD_E1",6340.98
52011,"WSU","YLD_E2",5888.16
52011,"WSU","YLD_E4",6036.48
52011,"WSU","YLD_E5",6738.66
52011,"WSU","YLD_BLUPs",6377.97
52012,"WSU","YLD_E1",7013.38
52012,"WSU","YLD_E2",5630.15
52012,"WSU","YLD_E4",6091.53
52012,"WSU","YLD_E5",6293.77
52012,"WSU","YLD_BLUPs",6070.41
52013,"WSU","YLD_E1",6414.75
52013,"WSU","YLD_E2",5602.32
52013,"WSU","YLD_E4",5870.66
